FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
137,NO,2.843,YES,1.84,3.462,-6.61,NO,4.294,YES,2.846,81.529,GAUCHE,-153.026,-70.592,-113.322,S214H_dimer_validated_mini00137.yob
138,NO,2.502,YES,1.965,3.642,-6.61,NO,4.051,NO,3.135,68.087,GAUCHE,-150.498,-73.144,-121.425,S214H_dimer_validated_mini00138.yob
139,YES,1.999,YES,1.775,3.103,-6.61,NO,3.477,YES,2.987,78.215,GAUCHE,-147.378,-86.889,-126.306,S214H_dimer_validated_mini00139.yob
140,YES,2.054,YES,1.627,3.065,-6.61,YES,3.303,YES,2.973,79.072,GAUCHE,-135.324,-79.877,-115.994,S214H_dimer_validated_mini00140.yob
141,YES,2.418,YES,1.773,3.141,-6.61,NO,3.685,YES,2.917,78.283,GAUCHE,-139.028,-76.161,-128.893,S214H_dimer_validated_mini00141.yob
142,YES,2.011,YES,1.792,2.996,-6.61,YES,3.452,YES,2.732,77.442,GAUCHE,-141.769,-76.305,-124.219,S214H_dimer_validated_mini00142.yob
143,NO,2.106,YES,1.686,3.537,-6.61,NO,3.801,YES,2.919,81.755,GAUCHE,-147.761,-68.901,-120.91,S214H_dimer_validated_mini00143.yob
144,NO,2.38,YES,1.786,3.317,-6.61,NO,3.88,YES,3.004,71.7,GAUCHE,-160.418,-78.556,-132.168,S214H_dimer_validated_mini00144.yob
145,NO,2.331,YES,2.007,3.444,-6.61,NO,3.99,YES,2.784,84.268,GAUCHE,-124.068,-77.9,-139.465,S214H_dimer_validated_mini00145.yob
146,YES,2.257,YES,1.82,3.179,-6.61,NO,3.807,YES,2.854,67.895,GAUCHE,-150.715,-83.672,-125.597,S214H_dimer_validated_mini00146.yob
147,YES,2.072,YES,1.882,3.417,-6.61,NO,4.322,YES,2.691,73.706,GAUCHE,-125.844,-66.363,-119.299,S214H_dimer_validated_mini00147.yob
148,YES,2.227,YES,1.708,3.23,-6.61,NO,3.561,YES,2.809,75.846,GAUCHE,-149.493,-74.958,-124.904,S214H_dimer_validated_mini00148.yob
